XCoord,YCoord,FID,ID,UNIQUEID,ADDRESS,SUFFIX,STREET,ONSTR,FROMSTR,TOSTR,SIDE,SITE,SPP,DBH,CULTIVAR,CONDITION,INSPECT,MT,MT2,TTYPE,MEMTREE,DISEASEDEF,STRUTDEFEC,LOCTYPE,SITECAT,HOOD,LOCATION,JURISDIC,TSIP,GRATESZ,GUARDSZ,INV_DATE,INV_TIME,INSPECT_DT,INSPECT_TM,NOTES,ACTIVE,COMMONNAME
3060277.16570000,1247999.13470000,122,63952.000000,NR 20150219093954,1777,X,9TH ST,9TH ST,CANYON BV,ARAPAHOE  AV,N/A,197,Populus species,22.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Civic Area - Kids Fishing Ponds,Unassigned,N,Unassigned,Unassigned,2015-02-19 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Native Cottonwood
3059225.47290000,1247899.81440000,123,61974.000000,NR 20150213125835,200,X,CANYON BV,CANYON BV,ARAPAHOE  AV,6TH ST,N/A,248,Fraxinus pennsylvanica,12.000000, ,Fair,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Civic Area - Boulder Creek Corridor,Unassigned,N,Unassigned,Unassigned,2015-02-13 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Green Ash
3077337.43260000,1247776.57250000,124,47902.000000,NR 20141231111607,5710, ,ARAPAHOE AV,ARAPAHOE AV,55TH ST,OLD TALE RD,N/A,964,Fraxinus pennsylvanica,8.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Flatirons Golf Course,Unassigned,N,Unassigned,Unassigned,2014-12-31 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Green Ash
3062505.05690000,1244712.83750000,125,41455.000000,JS 20141202151503,1280, ,EUCLID AV,EUCLID AV,12TH ST,13TH ST,N/A,101,Prunus species,2.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Shrub /Mulch bed,Park,Harbeck House,Unassigned,N,Unassigned,Unassigned,2014-12-02 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Plum species
3077952.40390000,1239506.68060000,126,44599.000000,AC 20141208113500,5660, ,SIOUX DR,SIOUX DR,55TH ST,55TH ST,N/A,429,Populus sargentii,16.000000, ,Good,N,Safety Prune,Routine,Deciduous,No,N/A,deadwood,Park,Natural Area,Park,East Boulder Community Park/Community Center,Unassigned,N,Unassigned,Unassigned,2014-12-08 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Plains Cottonwood
3071163.79180000,1244656.37510000,127,40954.000000,CC 20141203111029,3805, ,E AURORA AV,E AURORA AV,MOHAWK DR,37TH ST,N/A,61,Populus species,15.000000, ,Good,N,Safety Prune,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Aurora 7 Park,Unassigned,N,Unassigned,Unassigned,2014-12-03 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Native Cottonwood
3060805.08110000,1246331.55810000,128,39050.000000,JS 20141124163700,1201, ,9TH ST,9TH ST,PLEASANT ST,COLLEGE AV,N/A,10,Fraxinus pennsylvanica,23.000000, ,Fair,N,Structure Prune,Routine,Deciduous,No,N/A,deadwood,Park,Turf,Park,Columbia Cemetery,Unassigned,N,Unassigned,Unassigned,2014-11-24 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Green Ash
3062929.56720000,1261774.57520000,129,37403.000000,JS 20141113130922,1701,X,SUMAC AV,SUMAC AV,19TH ST,15TH ST,N/A,46,Populus species,6.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Crestview  Park,Unassigned,N,Unassigned,Unassigned,2014-11-13 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Native Cottonwood
3074996.99070000,1254891.12430000,130,35781.000000,AC 20141121131037,5325, ,VALMONT RD,VALMONT RD,STERLING CR,AIRPORT RD,N/A,741,Pinus ponderosa,2.000000, ,Good,N,Remove Stakes,Routine,Evergreen,No,N/A,N/A,Park,Shrub /Mulch bed,Park,Valmont City Park - Bike Park,Unassigned,N,Unassigned,Unassigned,2014-11-21 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Ponderosa Pine
3073961.61820000,1252713.10830000,131,36136.000000,AC 20141125130412,4942, ,VALMONT RD,VALMONT RD,STERLING CT,STERLING DR,N/A,249,Populus species,10.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Valmont City Park - South,Unassigned,N,Unassigned,Unassigned,2014-11-25 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Native Cottonwood
3059316.71170000,1244641.18690000,132,41384.000000,JS 20141202123908,960,X,GILBERT ST,GILBERT ST,AURORA AV,EUCLID AV,N/A,2,Fraxinus pennsylvanica,10.000000, ,Fair,N,Safety Prune,Routine,Deciduous,No,N/A,hangers,Park,Natural Area,Park,Smith Park,Unassigned,N,Unassigned,Unassigned,2014-12-02 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Green Ash
3077827.42380000,1247574.87000000,133,46665.000000,NR 20141215122307,5710, ,ARAPAHOE AV,ARAPAHOE AV,55TH ST,OLD TALE RD,N/A,408,Populus species,34.000000, ,Fair,N,Safety Prune,Priority 2,Deciduous,No,N/A,N/A,Park,Turf,Park,Flatirons Golf Course,Unassigned,N,Unassigned,Unassigned,2014-12-15 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Native Cottonwood
3060608.10510000,1246213.16700000,134,39252.000000,JS 20141125161243,1201, ,9TH ST,9TH ST,PLEASANT ST,COLLEGE AV,N/A,218,Fraxinus pennsylvanica,28.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Columbia Cemetery,Unassigned,N,Unassigned,Unassigned,2014-11-25 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Green Ash
3079015.65690000,1246322.16170000,135,48803.000000,SR 20150101120103,5710, ,ARAPAHOE AV,ARAPAHOE AV,55TH ST,OLD TALE RD,N/A,1175,Populus alba,47.000000, ,Fair,N,Safety Prune,Priority 1,Deciduous,No,N/A,hangers,Park,Turf,Park,Flatirons Golf Course,Unassigned,N,Unassigned,Unassigned,2015-01-01 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,White Poplar
3062532.43800000,1247395.20160000,136,42419.000000,NR 20141206155022,1560, ,BROADWAY,BROADWAY,GRANDVIEW AV,MARINE ST,N/A,41,Malus species,5.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Bare dirt,Park,Andrews Arboretum,Unassigned,N,Unassigned,Unassigned,2014-12-06 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Apple species
3060200.62870000,1248138.24960000,137,63843.000000,NR 20150218134111,1777,X,9TH ST,9TH ST,CANYON BV,ARAPAHOE  AV,N/A,94,Acer negundo,6.000000, ,Fair,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Civic Area - Kids Fishing Ponds,Unassigned,N,Unassigned,Unassigned,2015-02-18 00:00:00, ,2015-07-10 00:00:00,11:30:46,5 stemmed,1.000000,Boxelder
3074369.90720000,1268914.25360000,138,42684.000000,CC 20141209121634,5100, ,RESERVOIR RD,RESERVOIR RD,51ST ST,63RD ST,N/A,7,Gymnocladus dioicus,2.000000, ,Good,N,Remove Stakes,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Boulder Reservoir,Unassigned,N,Unassigned,Unassigned,2014-12-09 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Kentucky Coffeetree
3057637.82100000,1247797.61700000,139,40632.000000,CC 20141201130751,101, ,ARAPAHOE  AV,ARAPAHOE  AV,6TH ST,CANYON BV,N/A,8,Pinus nigra,16.000000, ,Fair,N,No Specific Maintenance Need,Routine,Evergreen,No,N/A,topped,Park,Natural Area,Park,Eben G Fine Park,Unassigned,N,Unassigned,Unassigned,2014-12-01 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Austrian Pine
3067143.66830000,1235055.69240000,140,41887.000000,JS 20141204143149,1095, ,LEHIGH ST,LEHIGH ST,TABLE MESA DR,BEAR MOUNTAIN DR,N/A,9,Celtis occidentalis,4.000000, ,Excellent,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Bear Creek Park,Unassigned,N,Unassigned,Unassigned,2014-12-04 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Northern Hackberry
3062412.84690000,1263032.25440000,141,43034.000000,CC 20141212115829,4501, ,19TH ST,19TH ST,AVOCADO RD,VIOLET AV,N/A,60,Populus sargentii,17.000000, ,Poor,N,Safety Prune,Priority 2,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Violet Park,Unassigned,N,Unassigned,Unassigned,2014-12-12 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Plains Cottonwood
3066817.06100000,1260371.00190000,142,37649.000000,JS 20141114162447,4001,X,28TH ST,28TH ST,JAY RD,WINDING TRAIL DR,N/A,3,Gleditsia triacanthos,2.000000, ,Good,N,Remove Stakes,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Elks Park,Unassigned,N,Unassigned,Unassigned,2014-11-14 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Common Honeylocust
3074224.88260000,1268882.84710000,143,42680.000000,CC 20141209120520,5100, ,RESERVOIR RD,RESERVOIR RD,51ST ST,63RD ST,N/A,3,Populus x acuminata,3.000000, ,Good,N,Remove Stakes,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Boulder Reservoir,Unassigned,N,Unassigned,Unassigned,2014-12-09 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Lanceleaf Cottonwood
3058768.80830000,1259653.97100000,144,38572.000000,JS 20141120111627,300,X,POPLAR AV,POPLAR AV,PROMINTORY CT,WONDERLAND HILL AV,N/A,65,Pinus flexilis,1.000000, ,Good,N,Remove Stakes,Routine,Evergreen,No,N/A,N/A,Park,Turf,Park,Wonderland Lake Park,Unassigned,N,Unassigned,Unassigned,2014-11-20 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Limber Pine
3072667.16660000,1235872.30000000,145,42666.000000,CC 20141209095706,999,X,TANTRA PARK CR,TANTRA PARK CR,W MOORHEAD CR,W MOORHEAD CR,N/A,230,Pinus edulis,8.000000, ,Good,N,No Specific Maintenance Need,Routine,Evergreen,No,N/A,N/A,Park,Raised Planter,Park,Tantra Park,Unassigned,N,Unassigned,Unassigned,2014-12-09 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Pinon Pine
3074409.92700000,1254157.38550000,146,35579.000000,AC 20141120152715,5325, ,VALMONT RD,VALMONT RD,STERLING CR,AIRPORT RD,N/A,543,Populus sargentii,16.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Valmont City Park - Bike Park,Unassigned,N,Unassigned,Unassigned,2014-11-20 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Plains Cottonwood
3077745.37810000,1247726.55490000,147,47005.000000,NR 20141219133843,5710, ,ARAPAHOE AV,ARAPAHOE AV,55TH ST,OLD TALE RD,N/A,750,Populus species,32.000000, ,Fair,N,Safety Prune,Priority 2,Deciduous,No,N/A,deadwood,Park,Natural Area,Park,Flatirons Golf Course,Unassigned,N,Unassigned,Unassigned,2014-12-19 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Native Cottonwood
3066177.62890000,1250794.25240000,148,38989.000000,JS 20141124132324,2490, ,SPRUCE ST,SPRUCE ST,23RD ST,FOLSOM ST,N/A,18,Pyrus calleryana,8.000000, ,Good,N,Structure Prune,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Greenleaf Park,Unassigned,N,Unassigned,Unassigned,2014-11-24 00:00:00, ,2015-07-10 00:00:00,11:30:46,DBH @ <4.5 ft,1.000000,Flowering Pear
3075080.30150000,1254428.66070000,149,35430.000000,AC 20141120102001,5325, ,VALMONT RD,VALMONT RD,STERLING CR,AIRPORT RD,N/A,394,Populus species,12.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Valmont City Park - Bike Park,Unassigned,N,Unassigned,Unassigned,2014-11-20 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Native Cottonwood
3074628.02630000,1254223.23550000,150,35544.000000,AC 20141120144046,5325, ,VALMONT RD,VALMONT RD,STERLING CR,AIRPORT RD,N/A,508,Ulmus pumila,3.000000, ,Fair,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Shrub /Mulch bed,Park,Valmont City Park - Bike Park,Unassigned,N,Unassigned,Unassigned,2014-11-20 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Siberian Elm
3078542.50970000,1248146.29940000,151,44180.000000,NR 20141211132242,5710, ,ARAPAHOE AV,ARAPAHOE AV,55TH ST,OLD TALE RD,N/A,64,Fraxinus pennsylvanica,25.000000, ,Poor,N,Remove,Priority 2,Deciduous,No,N/A,other - see notes,Park,Turf,Park,Flatirons Golf Course,Unassigned,N,Unassigned,Unassigned,2014-12-11 00:00:00, ,2015-07-10 00:00:00,11:30:46,markex for removal,1.000000,Green Ash
3066967.67170000,1247175.34590000,152,85216.000000,AC 20150602124018,2500, ,ARAPAHOE  AV,ARAPAHOE  AV,FOLSOM ST,28TH ST,N/A,18,Salix fragilis,28.000000, ,Fair,N,Safety Prune,Priority 1,Deciduous,No,N/A,deadwood,Park,Natural Area,Park,Civic Area - Boulder Creek Corridor,Unassigned,N,Unassigned,Unassigned,2015-06-02 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Crack Willow
3071102.41490000,1255202.39770000,153,43763.000000,JS 20141210103757,3200, ,34TH ST,34TH ST,ONEAL PY,HAYDEN PL,N/A,83,Populus species,55.000000, ,Poor,N,Safety Prune,Priority 2,Deciduous,No,N/A,cavity / decay,Park,Natural Area,Park,Howard Heuston Park,Unassigned,Y,Unassigned,Unassigned,2014-12-10 00:00:00, ,2015-07-31 00:00:00,19:09:59,deadwood,1.000000,Native Cottonwood
3060108.66180000,1248190.69660000,154,63832.000000,NR 20150218132632,1777,X,9TH ST,9TH ST,CANYON BV,ARAPAHOE  AV,N/A,83,Fraxinus pennsylvanica,12.000000, ,Fair,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Civic Area - Kids Fishing Ponds,Unassigned,N,Unassigned,Unassigned,2015-02-18 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Green Ash
3074618.29210000,1253672.01400000,155,35045.000000,AC 20141117142740,5325, ,VALMONT RD,VALMONT RD,STERLING CR,AIRPORT RD,N/A,26,Populus sargentii,18.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,deadwood,Park,Natural Area,Park,Valmont City Park - Bike Park,Unassigned,N,Unassigned,Unassigned,2014-11-17 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Plains Cottonwood
3082586.90060000,1273867.57680000,156,39570.000000,NR 20141114153433,6300,X,N 63RD ST,N 63RD ST,DIAGONAL HY,CITY LIMITS,N/A,310,Fraxinus pennsylvanica,3.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Tom Watson Park,Unassigned,N,Unassigned,Unassigned,2014-11-14 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Green Ash
3062153.48350000,1257633.31860000,157,37503.000000,JS 20141113163901,3601,X,16TH ST,16TH ST,LINDEN AV,KINGWOOD PL,N/A,35,Malus sylvestris,12.000000, ,Fair,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Melody Park,Unassigned,N,Unassigned,Unassigned,2014-11-13 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Flowering Crabapple
3068331.71770000,1247096.35660000,158,40020.000000,AC 20141202100442,1505, ,30TH ST,30TH ST,ARAPAHOE  AV,SHADOW CREEK DR,N/A,109,Prunus yedoensis,3.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Scott Carpenter Park,Unassigned,N,Unassigned,Unassigned,2014-12-02 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Yoshino Flowering Cherry
3060217.61860000,1248124.95320000,159,63840.000000,NR 20150218133825,1777,X,9TH ST,9TH ST,CANYON BV,ARAPAHOE  AV,N/A,91,Robinia pseudoacacia,11.000000, ,Good,N,Safety Prune,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Civic Area - Kids Fishing Ponds,Unassigned,N,Unassigned,Unassigned,2015-02-18 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Black Locust
3070050.81770000,1237889.81020000,160,36371.000000,AC 20141126135252,300, ,S 36TH ST,S 36TH ST,S BROADWAY,EASTMAN AV,N/A,220,Malus sylvestris,19.000000, ,Fair,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Martin Park,Unassigned,N,Unassigned,Unassigned,2014-11-26 00:00:00, ,2015-07-10 00:00:00,11:30:46,DBH @ <4.5 ft,1.000000,Flowering Crabapple
3073203.76290000,1254317.42100000,161,41183.000000,CC 20141205091259,3100, ,KINGS RIDGE BV,KINGS RIDGE BV,VALMONT RD,FRANKLIN DR,N/A,57,Populus x acuminata,19.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Christensen Park,Unassigned,N,Unassigned,Unassigned,2014-12-05 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Lanceleaf Cottonwood
3068902.50140000,1260200.49350000,162,39690.000000,NR 20141116161143,4000, ,30TH ST,30TH ST,CORRIENTE DR,REDWOOD PL,N/A,28,Catalpa speciosa,4.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Palo North Park,Unassigned,N,Unassigned,Unassigned,2014-11-16 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Western Catalpa
3060493.92340000,1246330.81840000,163,39062.000000,JS 20141125095535,1201, ,9TH ST,9TH ST,PLEASANT ST,COLLEGE AV,N/A,22,Fraxinus pennsylvanica,21.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Columbia Cemetery,Unassigned,N,Unassigned,Unassigned,2014-11-25 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Green Ash
3078734.06240000,1246371.31550000,164,44474.000000,NR 20141212162606,5710, ,ARAPAHOE AV,ARAPAHOE AV,55TH ST,OLD TALE RD,N/A,376,Populus alba,44.000000, ,Fair,N,Safety Prune,Priority 2,Deciduous,No,N/A,previous failure,Park,Turf,Park,Flatirons Golf Course,Unassigned,N,Unassigned,Unassigned,2014-12-12 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,White Poplar
3058699.21650000,1258741.90600000,165,69645.000000,JS 20150309143333,300,X,POPLAR AV,POPLAR AV,PROMINTORY CT,WONDERLAND HILL AV,N/A,182,Gleditsia triacanthos,2.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Wonderland Lake Park,Unassigned,N,Unassigned,Unassigned,2015-03-09 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Common Honeylocust
3068256.17830000,1236342.93880000,166,41865.000000,JS 20141204125707,3201, ,TABLE MESA DR,TABLE MESA DR,YALE RD,HARTFORD DR,N/A,28,Platanus x acerifolia,2.000000, ,Excellent,N,Remove Stakes,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Bill Bower Park,Unassigned,N,Unassigned,Unassigned,2014-12-04 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,London Planetree
3084523.11900000,1266346.40570000,167,37273.000000,JS 20141111130437,6505,X,NAUTILUS DR,NAUTILUS DR,NAUTILUS COURT NORTH DR,DEADEND,N/A,81,Populus species,12.000000, ,Fair,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Eaton Park,Unassigned,N,Unassigned,Unassigned,2014-11-11 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Native Cottonwood
3060696.59210000,1246258.58400000,168,39259.000000,JS 20141125161849,1201, ,9TH ST,9TH ST,PLEASANT ST,COLLEGE AV,N/A,225,Acer saccharinum,25.000000, ,Poor,N,Safety Prune,Priority 3,Deciduous,No,N/A,dead leaders,Park,Turf,Park,Columbia Cemetery,Unassigned,N,Unassigned,Unassigned,2014-11-25 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Silver Maple
3082649.12150000,1266634.08590000,169,37220.000000,JS 20141111100457,6505,X,NAUTILUS DR,NAUTILUS DR,NAUTILUS COURT NORTH DR,DEADEND,N/A,28,Populus species,31.000000, ,Fair,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,leaning - not corrected,Park,Natural Area,Park,Eaton Park,Unassigned,N,Unassigned,Unassigned,2014-11-11 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Native Cottonwood
3065194.35910000,1247131.33380000,170,85165.000000,AC 20150602113412,2106, ,ARAPAHOE  AV,ARAPAHOE  AV,17TH ST,FOLSOM ST,N/A,38,Fraxinus pennsylvanica,10.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Civic Area - Boulder Creek Corridor,Unassigned,N,Unassigned,Unassigned,2015-06-02 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Green Ash
3062726.39970000,1261759.06960000,171,37383.000000,JS 20141113123407,1701,X,SUMAC AV,SUMAC AV,19TH ST,15TH ST,N/A,26,Quercus robur,16.000000, ,Excellent,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Crestview  Park,Unassigned,N,Unassigned,Unassigned,2014-11-13 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,English Oak
3070550.69540000,1254783.44430000,172,43794.000000,JS 20141210142658,3200, ,34TH ST,34TH ST,ONEAL PY,HAYDEN PL,N/A,114,Acer negundo,15.000000, ,Poor,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,deadwood,Park,Natural Area,Park,Howard Heuston Park,Unassigned,N,Unassigned,Unassigned,2014-12-10 00:00:00, ,2015-07-10 00:00:00,11:30:46,behind fence,1.000000,Boxelder
3058183.92290000,1248881.91670000,173,36979.000000,CC 20141125135204,280, ,SPRUCE ST,SPRUCE ST,DEADEND,4TH ST,N/A,5,Malus sylvestris,11.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Knollwood Tennis Courts,Unassigned,N,Unassigned,Unassigned,2014-11-25 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Flowering Crabapple
3072563.10648843,1235903.00177944,174,85313.000000,DROID 201506241206649762350,999,X,TANTRA PARK CR,TANTRA PARK CR,W MOORHEAD CR,W MOORHEAD CR,N/A,51,Gymnocladus dioicus,2.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Tantra Park,Unassigned,N,Unassigned,Unassigned,2015-06-24 00:00:00, ,2015-07-10 00:00:00,11:30:46,Planted 2015,1.000000,Kentucky Coffeetree
3075604.55950000,1254173.01150000,175,35150.000000,AC 20141118115625,5325, ,VALMONT RD,VALMONT RD,STERLING CR,AIRPORT RD,N/A,114,Quercus rubra,2.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,basal wound,Park,Shrub /Mulch bed,Park,Valmont City Park - Bike Park,Unassigned,N,Unassigned,Unassigned,2014-11-18 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Northern Red oak
3065639.70610000,1247024.09030000,176,85176.000000,AC 20150602114654,2106, ,ARAPAHOE  AV,ARAPAHOE  AV,17TH ST,FOLSOM ST,N/A,49,Populus sargentii,30.000000, ,Poor,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,leaning - not corrected,Park,Natural Area,Park,Civic Area - Boulder Creek Corridor,Unassigned,N,Unassigned,Unassigned,2015-06-02 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Plains Cottonwood
3061225.20370000,1242440.06060000,177,41695.000000,JS 20141203151426,900, ,BASELINE RD,BASELINE RD,FLAGSTAFF RD,10TH ST,N/A,120,Gymnocladus dioicus,3.000000, ,Fair,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Chautauqua Park,Unassigned,N,Unassigned,Unassigned,2014-12-03 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Kentucky Coffeetree
3061358.45840000,1254987.57290000,178,38851.000000,JS 20141121152518,3198, ,BROADWAY,BROADWAY,ELDER AV,HAWTHORN AV,N/A,7,Malus sylvestris,7.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Shrub /Mulch bed,Park,North Boulder Rec Center/Iris Center,Unassigned,N,Unassigned,Unassigned,2014-11-21 00:00:00, ,2015-07-10 00:00:00,11:30:46,DBH @ <4.5 ft,1.000000,Flowering Crabapple
3077472.74060000,1245963.85170000,179,48490.000000,NR 20150101153038,5710, ,ARAPAHOE AV,ARAPAHOE AV,55TH ST,OLD TALE RD,N/A,1287,Populus species,22.000000, ,Good,N,Safety Prune,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Flatirons Golf Course,Unassigned,N,Unassigned,Unassigned,2015-01-01 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Native Cottonwood
3073045.73490000,1245232.27580000,180,45252.000000,CC 20141217135632,999,X,MORGAN DR,MORGAN DR,CUL-DE-SAC,PITKIN DR,N/A,42,Fraxinus pennsylvanica,13.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Park East Park,Unassigned,N,Unassigned,Unassigned,2014-12-17 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Green Ash
3076384.66490000,1240122.46850000,181,40249.000000,AC 20141203111740,280,X,MANHATTAN DR,MANHATTAN DR,KEWANEE DR,TENINO AV,N/A,73,Fraxinus pennsylvanica,12.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Turf,Park,Keewaydin Park,Unassigned,N,Unassigned,Unassigned,2014-12-03 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Green Ash
3076951.26100000,1268823.60390000,182,42899.000000,CC 20141211120418,5100, ,RESERVOIR RD,RESERVOIR RD,51ST ST,63RD ST,N/A,184,Populus sargentii,17.000000, ,Good,N,No Specific Maintenance Need,Routine,Deciduous,No,N/A,N/A,Park,Natural Area,Park,Boulder Reservoir,Unassigned,N,Unassigned,Unassigned,2014-12-11 00:00:00, ,2015-07-10 00:00:00,11:30:46, ,1.000000,Plains Cottonwood
